HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
86032,17,34,56,12,33,38.1,2.08,69.84,110.08,-222.61,0.155,0.17,A5III
86228,17,37,19.13,-42,59,52.2,1.86,11.99,6.06,-0.95,0.406,0.48,F1II
86263,17,37,35.23,-15,23,54.3,3.54,30.93,-39.3,-61.27,0.262,0.29,F0IIIp
86414,17,39,27.89,46,0,22.8,3.82,6.58,-7.17,3.97,-0.179,-0.21,B3V SB
86565,17,41,24.92,-12,52,30.6,4.24,19.41,-72.16,-55.22,0.086,0.1,A2Va
86670,17,42,29.28,-39,1,47.7,2.39,7.03,-6.49,-25.55,-0.171,-0.22,B1.5III
86742,17,43,28.38,4,34,0.9,2.76,39.78,-40.67,158.8,1.168,1.1,K2III
86929,17,45,44,-64,43,25.4,3.61,8.79,-11.08,-56.37,1.161,1.09,K1III
86974,17,46,27.72,27,43,21,3.42,119.05,-291.42,-750,0.75,0.71,G5IV
87072,17,47,33.63,-27,49,50.7,4.53,3.03,-3.62,-10.67,0.6,0.76,F7II
87073,17,47,35.08,-40,7,37.1,2.99,1.82,0.44,-6.4,0.509,0.64,F3Ia
87585,17,53,31.63,56,52,20.8,3.73,29.26,93.65,78.44,1.177,1.11,K2III
87808,17,56,15.18,37,15,1.9,3.86,4.87,2.74,7.24,1.35,1.17,K1IIvar
87833,17,56,36.38,51,29,20.2,2.24,22.1,-8.52,-23.05,1.521,1.54,K5III
87933,17,57,45.83,29,14,52.5,3.7,24.12,82.33,-18.73,0.935,0.89,K0III
88635,18,5,48.52,-30,25,25.1,2.98,33.94,-55.75,-181.53,0.981,0.99,K0III
88714,18,6,37.88,-50,5,29.2,3.65,3.22,-8.43,-9.26,-0.101,-0.06,B2Ib
88794,18,7,32.55,28,45,44.9,3.84,9.39,-0.17,7.51,-0.018,-0.02,B9.5V
88866,18,8,34.79,-63,40,5,4.33,23.55,17.45,-207.64,0.228,0.23,Am
89341,18,13,45.81,-21,3,31.8,3.84,0.11,1.72,-1.39,0.195,0.21,B2III:
89642,18,17,37.73,-36,45,40.6,3.1,21.87,-129.27,-166.61,1.582,2.24,M2III
