HIP,赤経時,赤経分,赤経秒,赤緯度,赤緯分,赤緯秒,視等級,年周視差,赤経方向固有運動,赤緯方向固有運動,B-V色指数,V-I色指数,スペクトル分類
46853,9,32,52.33,51,40,43,3.17,74.15,-947.06,-535.6,0.475,0.56,F6IV
46952,9,34,13.38,36,23,51.4,4.54,18.52,6.82,-22.89,0.914,0.91,G8III
47908,9,45,51.1,23,46,27.4,2.97,13.01,-46.09,-9.57,0.808,0.81,G0II
48319,9,50,59.69,59,2,20.8,3.78,28.35,-294.45,-151.75,0.291,0.39,F0IV
48356,9,51,28.68,-14,50,47.6,4.11,11.92,18.68,-21.88,0.918,0.92,G6/G8III
48402,9,52,6.36,54,3,51.4,4.55,7.47,-4.21,19.18,0.038,0.09,A3IV
48455,9,52,45.96,26,0,25.5,3.88,24.52,-216.29,-54.92,1.222,1.13,K0III
48774,9,56,51.75,-54,34,4.1,3.52,1.69,-13.13,2.83,-0.067,-0.04,B5Ib
48926,9,58,52.34,-35,53,27.4,5.23,30.67,-89.59,-16.27,0.3,0.34,A8IV
49583,10,7,19.95,16,45,45.6,3.48,1.53,-1.94,-0.53,-0.031,0.06,A0Ib
49593,10,7,25.73,35,14,40.9,4.49,35.78,50.97,0.64,0.19,0.19,A7V
49641,10,7,56.3,0,22,17.9,4.48,11.35,-26.17,-3.65,-0.032,-0.01,A0III
49669,10,8,22.46,11,58,1.9,1.36,42.09,-249.4,4.91,-0.087,-0.1,B7V
49841,10,10,35.4,-12,21,13.8,3.61,28.44,-200.33,-100.28,1.007,0.96,K0III
50099,10,13,44.28,-70,2,16.5,3.29,8.81,-35.73,7.55,-0.074,-0.03,B8III
50191,10,14,44.27,-42,7,19.4,3.85,31.72,-150.68,49.84,0.051,0.03,A2V
50335,10,16,41.4,23,25,2.4,3.43,12.56,19.84,-7.3,0.307,0.39,F0III
50371,10,17,5.01,-61,19,56.4,3.39,4.43,-24.25,6.38,1.541,1.45,K3II
50372,10,17,5.93,42,54,52.1,3.45,24.27,-170.11,-42.64,0.029,0.05,A2IV
50583,10,19,58.16,19,50,30.7,2.01,25.96,310.77,-152.88,1.128,1.17,K0III
50801,10,22,19.8,41,29,58,3.06,13.11,-80.47,34.1,1.603,1.77,M0III SB
51069,10,26,5.51,-16,50,9.9,3.83,13.14,-128.51,-80.06,1.456,1.47,K4III
51172,10,27,9.16,-31,4,4.1,4.28,8.9,-80.42,9.63,1.429,1.47,K4III
51232,10,27,52.75,-58,44,21.9,3.81,3.13,-13.25,2.21,0.317,0.41,F2II
51233,10,27,53.09,36,42,26.9,4.2,22.34,-127.52,-109.62,0.908,0.89,G8III-IV
51437,10,30,17.5,0,38,13.1,5.08,9.46,-40.12,-22.17,-0.138,-0.13,B6V
51839,10,35,28.22,-78,36,28.1,4.11,7.89,-38,11.53,1.58,1.71,M0III
51986,10,37,18.26,-48,13,32.2,3.84,37.71,-131.48,-1.58,0.3,0.35,A3m+...
52419,10,42,57.43,-64,23,40.1,2.74,7.43,-18.87,12.06,-0.22,-0.24,B0Vp
52468,10,43,32.31,-60,33,59.9,4.58,3.06,-15.22,3.12,1.7,1.79,K3Ib
52727,10,46,46.12,-49,25,12.5,2.69,28.18,62.55,-53.57,0.901,0.91,G5III SB
52943,10,49,37.43,-16,11,38.9,3.11,23.54,92.77,199.02,1.232,1.22,K0/K1III
53229,10,53,18.64,34,12,56,3.79,33.4,92.47,-286.06,1.04,1.07,K0III-IV
53253,10,53,29.57,-58,51,11.8,3.78,33.71,79.75,38.65,0.945,0.96,K0III-IV...
53740,10,59,46.75,-18,17,56.8,4.08,18.71,-462.39,129.11,1.079,1.06,K1III
53910,11,1,50.39,56,22,56.4,2.34,41.07,81.66,33.74,0.033,0.02,A1V
54061,11,3,43.84,61,45,4,1.81,26.38,-136.46,-35.25,1.061,1.03,F7V comp
54463,11,8,35.4,-58,58,30.2,3.93,0.55,-5.03,2.09,1.225,1.19,G0Ia0
54539,11,9,39.86,44,29,54.8,3,22.21,-62.35,-27.38,1.144,1.09,K1III
54682,11,11,39.49,-22,49,32.2,4.46,12.26,4.73,-99.06,0.025,0.04,A1V
54872,11,14,6.41,20,31,26.5,2.56,56.52,143.31,-130.43,0.128,0.12,A4V
54879,11,14,14.44,15,25,47.1,3.33,18.36,-59.01,-79.37,-0.003,0.01,A2V
55282,11,19,20.52,-14,46,44.6,3.56,16.75,-124.47,206.61,1.112,1.12,K0III
55687,11,24,36.61,-10,51,33.8,4.81,8.95,-24.14,24.46,1.556,1.67,K5III
55705,11,24,52.98,-17,41,2.5,4.06,38.9,-97.01,3.22,0.216,0.24,A9V
56211,11,31,24.29,69,19,52,3.82,9.76,-41.14,-18.79,1.613,1.79,M0IIIvar
56343,11,33,0.26,-31,51,27.1,3.54,25.23,-209.09,-41.6,0.947,0.92,G8III
56480,11,34,45.71,-54,15,50.9,4.62,7.04,-55.55,16.64,-0.077,-0.06,B9V
56561,11,35,46.93,-63,1,11.4,3.11,7.96,-33.84,-6.87,-0.044,-0.01,B9II:
56633,11,36,40.95,-9,48,8.1,4.7,10.7,-59.32,2.82,-0.073,-0.06,B9.5Vn
57283,11,44,45.76,-18,21,2.2,4.71,9.31,27.15,-24.56,0.958,0.94,G8III
57363,11,45,36.57,-66,43,43.8,3.63,25.42,-100.42,33.21,0.16,0.17,A7III
57380,11,45,51.57,6,31,47.3,4.04,10.42,-19.65,-180.02,1.501,1.79,M0III
57399,11,46,3.13,47,46,45.6,3.69,16.64,-138.38,28.37,1.181,1.15,K0III
57632,11,49,3.88,14,34,20.4,2.14,90.16,-499.02,-113.78,0.09,0.1,A3Vvar
57936,11,52,54.56,-33,54,29.3,4.29,8.93,-58.02,2.4,-0.1,-0.07,Ap Si
58001,11,53,49.74,53,41,41,2.41,38.99,107.76,11.16,0.044,0.06,A0V SB
58188,11,56,0.98,-17,9,2.9,5.17,11.42,-49.07,-8.23,-0.022,0,A0V
59196,12,8,21.54,-50,43,20.7,2.58,8.25,-47.53,-6.42,-0.128,-0.12,B2IVne
59199,12,8,24.75,-24,43,43.6,4.02,67.71,100.18,-39.33,0.334,0.4,F0IV/V
59316,12,10,7.53,-22,37,11.3,3.02,10.75,-71.52,10.55,1.326,1.23,K2III
59747,12,15,8.76,-58,44,56,2.79,8.96,-36.68,-10.72,-0.193,-0.25,B2IV
59774,12,15,25.45,57,1,57.4,3.32,40.05,103.56,7.81,0.077,0.03,A3Vvar
59803,12,15,48.47,-17,32,31.1,2.58,19.78,-159.58,22.31,-0.107,-0.1,B8III
60000,12,18,20.94,-79,18,44.2,4.24,12.05,-38.07,12,-0.123,-0.11,B5Vn
60030,12,18,40.3,0,47,13.7,5.9,10,33.51,-16.17,0.168,0.18,A5Vn
60718,12,26,35.94,-63,5,56.6,0.77,10.17,-35.37,-14.73,-0.243,-0.26,B0.5IV
60742,12,26,56.33,28,16,7,4.35,19.18,-83.41,-80.99,1.128,1.04,K2IIICN+...
60823,12,28,2.41,-50,13,50.2,3.91,7.36,-32.49,-12.41,-0.192,-0.2,B3V
60965,12,29,51.98,-16,30,54.3,2.94,37.11,-209.97,-139.3,-0.012,-0.04,B9.5V
61084,12,31,9.93,-57,6,45.2,1.59,37.09,27.94,-264.33,1.6,2.37,M4III
61174,12,32,4.48,-16,11,45.1,4.3,54.92,-424.37,-58.41,0.388,0.44,F2V
61199,12,32,28.11,-72,7,58.7,3.84,10.07,-50.59,-5.16,-0.157,-0.14,B5V
61281,12,33,29.04,69,47,17.6,3.85,6.55,-58.14,11.42,-0.116,-0.02,B6IIIp
61317,12,33,45.09,41,21,24.4,4.24,119.46,-705.06,292.93,0.588,0.67,G0V
61359,12,34,23.23,-23,23,47.8,2.65,23.34,0.86,-56,0.893,0.88,G5II
61585,12,37,11.08,-69,8,7.9,2.69,10.67,-39.87,-12.44,-0.176,-0.23,B2IV-V
61932,12,41,31.2,-48,57,35.6,2.2,25.01,-187.28,-1.2,-0.023,-0.01,A1IV
61941,12,41,40,-1,26,58.3,2.74,84.53,-616.66,60.66,0.368,0.43,F0V+...
62322,12,46,16.87,-68,6,29.1,3.04,10.48,-40.4,-10.32,-0.178,-0.19,B2V
62434,12,47,43.32,-59,41,19.4,1.25,9.25,-48.24,-12.82,-0.238,-0.27,B0.5III
62956,12,54,1.63,55,57,35.4,1.76,40.3,111.74,-8.99,-0.022,-0.04,A0p
63090,12,55,36.48,3,23,51.4,3.39,16.11,-471.44,-52.81,1.571,2.24,M3III
63125,12,56,1.84,38,19,5.7,2.89,29.6,-233.43,54.98,-0.115,-0.13,A0spe...
63608,13,2,10.76,10,57,32.8,2.85,31.9,-275.05,19.96,0.934,0.83,G8IIIvar
64166,13,9,3.28,-23,7,4.7,4.94,14.14,-19.97,-39.9,1.048,1.02,K0III
64241,13,9,59.55,17,31,44.8,4.32,69.81,-445.95,129.69,0.455,0.53,F5V
64394,13,11,52.92,27,52,33.7,4.23,109.23,-801.94,882.7,0.572,0.67,G0V
64962,13,18,55.25,-23,10,17.1,2.99,24.69,68.41,-41.09,0.92,0.9,G8III
65109,13,20,36.07,-36,42,43.5,2.75,55.64,-340.76,-87.98,0.068,0.02,A2V
65378,13,23,55.42,54,55,31.5,2.23,41.73,121.23,-22.01,0.057,0.07,A2V
65474,13,25,11.6,-11,9,40.5,0.98,12.44,-42.5,-31.73,-0.235,-0.25,B1V
65936,13,31,2.67,-39,24,26.2,3.9,2.6,-15.65,-11.25,1.186,1.1,G8II/III
66249,13,34,41.75,0,35,45.4,3.38,44.55,-278.89,48.56,0.114,0.12,A3V
66657,13,39,53.27,-53,27,58.9,2.29,8.68,-14.6,-12.79,-0.171,-0.23,B1III
67301,13,47,32.55,49,18,47.9,1.85,32.39,-121.23,-15.56,-0.099,-0.08,B3V SB
67459,13,49,28.7,15,47,52.1,4.05,13.29,-93.64,40.76,1.52,1.6,K5IIIvar
67464,13,49,30.3,-41,41,15.6,3.41,6.87,-26.01,-20.38,-0.225,-0.24,B2IV
67472,13,49,37.01,-42,28,25.3,3.47,6.19,-23.85,-19.22,-0.17,-0.21,B2IV-Ve
67927,13,54,41.12,18,23,54.9,2.68,88.17,-60.95,-358.1,0.58,0.65,G0IV
68002,13,55,32.43,-47,17,17.8,2.55,8.48,-57.14,-44.75,-0.176,-0.18,B2.5IV
68282,13,58,40.77,-44,48,12.7,3.87,7.81,-27.97,-21.69,-0.208,-0.22,B2IV-V
68520,14,1,38.78,1,32,40.5,4.23,14.94,17.41,-21.2,0.121,0.14,A3V
68702,14,3,49.44,-60,22,22.7,0.61,6.21,-33.96,-25.06,-0.231,-0.25,B1III
68756,14,4,23.43,64,22,32.9,3.67,10.56,-56.52,17.19,-0.049,-0.08,A0III SB
68933,14,6,41.32,-36,22,7.3,2.06,53.52,-519.29,-517.87,1.011,1.01,K0IIIb
69427,14,12,53.74,-10,16,26.6,4.18,14.59,8.04,140.79,1.323,1.35,K3III
69673,14,15,40.35,19,11,14.2,-0.05,88.85,-1093.45,-1999.4,1.239,1.22,K2IIIp
69701,14,16,0.88,-5,59,58.3,4.07,46.74,-25.84,-419.84,0.511,0.59,F7V
70576,14,26,10.8,-45,22,45.3,4.33,10.38,13.55,-6.35,0.434,0.58,A7:+...
70638,14,26,55.74,-83,40,4.3,4.31,11.7,-95.79,-12.91,1.3,1.3,K2III
71053,14,31,49.86,30,22,16.1,3.57,21.92,-100.44,120.22,1.298,1.22,K3III
71075,14,32,4.76,38,18,28.4,3.04,38.29,-115.55,151.87,0.191,0.17,A7IIIvar
71352,14,35,30.45,-42,9,27.9,2.33,10.57,-35.31,-32.44,-0.157,-0.17,B1Vn + A
71536,14,37,53.25,-49,25,32.7,4.05,10.51,-27.78,-29.05,-0.152,-0.16,B5V
71683,14,39,40.9,-60,50,6.5,-0.01,742.12,-3678.19,481.84,0.71,0.69,G2V
71795,14,41,8.92,13,43,42,3.78,18.07,52.36,-12.71,0.044,0.06,A3IVn
71860,14,41,55.77,-47,23,17.3,2.3,5.95,-21.15,-24.22,-0.154,-0.21,B1.5III
71908,14,42,30.69,-64,58,28.5,3.18,60.97,-192.64,-234.07,0.256,0.26,F1Vp
71957,14,43,3.56,-5,39,26.7,3.87,53.54,104.23,-319.9,0.385,0.47,F2III
72105,14,44,59.25,27,4,27,2.35,15.55,-50.65,20,0.966,0.95,A0
72220,14,46,14.99,1,53,34.6,3.73,25.35,-116.04,-21.75,-0.005,0.01,A0V
72370,14,47,51.73,-79,2,41,3.83,7.93,-5.67,-15.75,1.433,1.42,K5III
72607,14,50,42.4,74,9,19.7,2.07,25.79,-32.29,11.91,1.465,1.46,K4IIIvar
72622,14,50,52.78,-16,2,29.8,2.75,42.25,-105.69,-69,0.147,0.16,A3IV
73273,14,58,31.95,-43,8,1.9,2.68,6.23,-34.06,-38.3,-0.184,-0.23,B2III
73334,14,59,9.7,-42,6,14.9,3.13,6.05,-17.76,-21.33,-0.208,-0.21,B2IV
73555,15,1,56.79,40,23,26.3,3.49,14.91,-40.2,-29.22,0.956,0.89,G8III
73714,15,4,4.26,-25,16,54.7,3.25,11.17,-71.85,-44.69,1.674,2.23,M3/M4III
74395,15,12,17.2,-52,5,56.7,3.41,28.06,-113.94,-71,0.918,0.91,G8III
74666,15,15,30.1,33,18,54.4,3.46,27.94,84.84,-110.57,0.961,0.96,G8III
74785,15,17,0.47,-9,22,58.3,2.61,20.38,-96.39,-20.76,-0.071,-0.08,B8V
74824,15,17,30.96,-58,48,3.2,4.07,33.75,-98.39,-135.46,0.088,0.08,A3V
74946,15,18,54.69,-68,40,46.1,2.87,17.85,-66.48,-32,0.014,0.04,A1V
75097,15,20,43.75,71,50,2.3,3,6.79,-18.03,17.68,0.058,0.12,A3II-III
75141,15,21,22.34,-40,38,50.9,3.22,6.39,-19.11,-24.05,-0.227,-0.23,B1.5IV
75177,15,21,48.44,-36,15,40.2,3.57,9.99,-91.85,-86.03,1.534,1.59,K5III
75323,15,23,22.66,-59,19,14.5,4.48,6.4,-10.29,-36.57,0.169,0.18,B5III + F8
75458,15,24,55.78,58,57,57.7,3.29,31.92,-8.27,17.3,1.166,1.07,K2III
75695,15,27,49.85,29,6,19.8,3.66,28.6,-181.39,86.84,0.319,0.37,F0p
76127,15,32,55.8,31,21,33,4.14,10.49,-19.62,-8.94,-0.127,-0.12,B6Vnn
76267,15,34,41.19,26,42,53.7,2.22,43.65,120.38,-89.44,0.032,0.05,A0V
76276,15,34,48.19,10,32,19.9,3.8,15.54,-72.63,3.17,0.268,0.3,F0IV
76297,15,35,8.46,-41,10,0.1,2.8,5.75,-16.05,-25.52,-0.216,-0.22,B2IV
76333,15,35,31.54,-14,47,22.4,3.91,21.42,65.67,6.93,1.007,1.02,K0III
76552,15,38,3.32,-42,34,2.9,4.34,14.19,-147.6,56.35,1.412,1.42,K4.5III
76952,15,42,44.64,26,17,43.9,3.81,22.48,-112.52,50.7,0.02,0.04,A1Vs
77055,15,44,3.46,77,47,40.2,4.29,8.68,20.07,-2.5,0.038,0.05,A3Vn
77070,15,44,16,6,25,31.9,2.63,44.54,134.66,44.14,1.167,1.09,K2III
77233,15,46,11.21,15,25,18.9,3.65,21.31,68.54,-41.31,0.073,0.09,A3V
77450,15,48,44.41,18,8,30.4,4.09,9.36,-51.78,-88.72,1.616,1.73,M1III
